VARIABLENAME	DESCRIPTION	UNITS
panas:fearless	PANAS item (immediately after scan):  fearless	1 (very slightly/not at all) - 5 (extremely)
panas:frightened	PANAS item (immediately after scan):  frightened	1 (very slightly/not at all) - 5 (extremely)
panas:guilty	PANAS item (immediately after scan):  guilty	1 (very slightly/not at all) - 5 (extremely)
panas:happy	PANAS item (immediately after scan):  happy	1 (very slightly/not at all) - 5 (extremely)
panas:hostile	PANAS item (immediately after scan):  hostile	1 (very slightly/not at all) - 5 (extremely)
panas:inspired	PANAS item (immediately after scan):  inspired	1 (very slightly/not at all) - 5 (extremely)
panas:interested	PANAS item (immediately after scan):  interested	1 (very slightly/not at all) - 5 (extremely)
panas:irritable	PANAS item (immediately after scan):  irritable	1 (very slightly/not at all) - 5 (extremely)
panas:jittery	PANAS item (immediately after scan):  jittery	1 (very slightly/not at all) - 5 (extremely)
panas:joyful	PANAS item (immediately after scan):  joyful	1 (very slightly/not at all) - 5 (extremely)
panas:lively	PANAS item (immediately after scan):  lively	1 (very slightly/not at all) - 5 (extremely)
panas:loathing	PANAS item (immediately after scan):  loathing	1 (very slightly/not at all) - 5 (extremely)
panas:lonely	PANAS item (immediately after scan):  lonely	1 (very slightly/not at all) - 5 (extremely)
panas:negative	PANAS derived score:  negative	integer
panas:nervous	PANAS item (immediately after scan):  nervous	1 (very slightly/not at all) - 5 (extremely)
panas:positive	PANAS derived score:  positive	integer
panas:proud	PANAS item (immediately after scan):  proud	1 (very slightly/not at all) - 5 (extremely)
panas:relaxed	PANAS item (immediately after scan):  relaxed	1 (very slightly/not at all) - 5 (extremely)
panas:sad	PANAS item (immediately after scan):  sad	1 (very slightly/not at all) - 5 (extremely)
panas:scared	PANAS item (immediately after scan):  scared	1 (very slightly/not at all) - 5 (extremely)
panas:scornful	PANAS item (immediately after scan):  scornful	1 (very slightly/not at all) - 5 (extremely)
panas:shaky	PANAS item (immediately after scan):  shaky	1 (very slightly/not at all) - 5 (extremely)
panas:sheepish	PANAS item (immediately after scan):  sheepish	1 (very slightly/not at all) - 5 (extremely)
panas:shy	PANAS item (immediately after scan):  shy	1 (very slightly/not at all) - 5 (extremely)
panas:sleepy	PANAS item (immediately after scan):  sleepy	1 (very slightly/not at all) - 5 (extremely)
panas:sluggish	PANAS item (immediately after scan):  sluggish	1 (very slightly/not at all) - 5 (extremely)
panas:strong	PANAS item (immediately after scan):  strong	1 (very slightly/not at all) - 5 (extremely)
panas:surprised	PANAS item (immediately after scan):  surprised	1 (very slightly/not at all) - 5 (extremely)
panas:timid	PANAS item (immediately after scan):  timid	1 (very slightly/not at all) - 5 (extremely)
panas:tired	PANAS item (immediately after scan):  tired	1 (very slightly/not at all) - 5 (extremely)
panas:upset	PANAS item (immediately after scan):  upset	1 (very slightly/not at all) - 5 (extremely)
prevevening:Alcohol	Alcohol consumed (standard drinks) reported previous evening	float
prevevening:Guthealth	Gut health reported previous evening	1 (extremely bad) - 7 (extremely good)
prevevening:Howmuchdidtinnitusbotheryoutoday?	How much did tinnitus bother you today reported previous evening	
prevevening:Psoriasisseverity	Psoriasis severity reported previous evening	1 (extremely good) - 7 (extremely bad)
prevevening:Stress	Psychological stress reported previous evening	1 (extremely good) - 7 (extremely bad)
prevevening:Timespentoutdoors	Time spent outdoors reported previous evening	hours
rna:rin	RNA integrity number	float
sameevening:Alcohol	Alcohol consumed (standard drinks) reported same evening	float
sameevening:Guthealth	Gut health reported same evening	1 (extremely bad) - 7 (extremely good)
sameevening:Howmuchdidtinnitusbotheryoutoday?	How much did tinnitus bother you today reported same evening	
sameevening:Psoriasisseverity	Psoriasis severity reported same evening	1 (extremely good) - 7 (extremely bad)
sameevening:Stress	Psychological stress reported same evening	1 (extremely good) - 7 (extremely bad)
sameevening:Timespentoutdoors	Time spent outdoors reported same evening	hours
scan:has_breathhold	DEPRECATED	0 (absent)/1(present)
scan:has_dots	DEPRECATED	0 (absent)/1(present)
scan:has_dti	DEPRECATED	0 (absent)/1(present)
scan:has_faceloc	DEPRECATED	0 (absent)/1(present)
scan:has_grid	DEPRECATED	0 (absent)/1(present)
scan:has_nback	DEPRECATED	0 (absent)/1(present)
scan:has_resting	DEPRECATED	0 (absent)/1(present)
scan:has_superloc	DEPRECATED	0 (absent)/1(present)
scan:has_t1w	DEPRECATED	0 (absent)/1(present)
scan:has_t2w	DEPRECATED	0 (absent)/1(present)
scan:noisecancel	Noise cancellation status during scan	0 (absent)/1(present)
weather:precip	Precipitation for same day	inches
weather:temphi	High temperature for same day	degrees Farenheit
weather:templo	Low temperature for same day	degrees Farenheit
weight	Weight in pounds measured using Aria scale	pounds
zeo:timeInDeep	ZEO time in deep sleep	minutes
zeo:timeInLight	ZEO time in light sleep	minutes
zeo:timeInRem	ZEO time in REM sleep	minutes
zeo:totalZ	ZEO total sleeping time	minutes
zeo:zq	ZEO ZQ score	integer
